"n","target_cv","actual_cv","maxmin_ratio","p","q","p_value","Lambda","loglik_F","loglik_R","aic_F","aic_R","bic_F","bic_R"
100,0,0,1,0.215,0.825,0.822374270018834,1.52404254081921,-617.705729690891,-618.4677509613,1255.41145938178,1248.9355019226,1281.46316124166,1264.56652303853
100,0,0,1,0.215,0.825,0.697672396657247,2.20741269925566,-608.720096386823,-609.823802736451,1237.44019277365,1231.6476054729,1263.49189463353,1247.27862658883
100,0,0,1,0.215,0.825,0.196582124165204,6.03456015180154,-599.222227999122,-602.239508075022,1218.44445599824,1216.47901615004,1244.49615785812,1232.11003726597
100,0,0,1,0.215,0.825,0.980506985273875,0.423512645750407,-589.274352785921,-589.486109108796,1198.54870557184,1190.97221821759,1224.60040743172,1206.60323933352
100,0,0,1,0.215,0.825,0.81120946647244,1.58653884887985,-597.871132247881,-598.664401672321,1215.74226449576,1209.32880334464,1241.79396635564,1224.95982446057
100,0,0,1,0.215,0.825,0.831094686196506,1.4748060834213,-621.275978002919,-622.013381044629,1262.55195600584,1256.02676208926,1288.60365786572,1271.65778320519
100,0,0,1,0.215,0.825,0.513310659440956,3.27244037405944,-614.691846113798,-616.328066300828,1249.3836922276,1244.65613260166,1275.43539408748,1260.28715371758
100,0,0,1,0.215,0.825,0.0402611624513989,10.0099050744034,-611.931768548021,-616.936721085223,1243.86353709604,1245.87344217045,1269.91523895592,1261.50446328637
100,0,0,1,0.215,0.825,0.977314687486031,0.459580066521767,-596.42867555516,-596.658465588421,1212.85735111032,1205.31693117684,1238.9090529702,1220.94795229277
100,0,0,1,0.215,0.825,0.633420534011313,2.56283566587558,-601.222003497765,-602.503421330703,1222.44400699553,1217.00684266141,1248.49570885541,1232.63786377733
100,0,0,1,0.215,0.825,0.964802087540665,0.584209652465688,-632.083626653618,-632.375731479851,1284.16725330724,1276.7514629597,1310.21895516712,1292.38248407563
100,0,0,1,0.215,0.825,0.131740732035026,7.07960614918443,-615.13733051939,-618.677133593982,1250.27466103878,1249.35426718796,1276.32636289866,1264.98528830389
100,0,0,1,0.215,0.825,0.707808806410103,2.15209351357885,-602.444110785769,-603.520157542558,1224.88822157154,1219.04031508512,1250.93992343142,1234.67133620105
