"n","target_cv","actual_cv","mttf_true","mttf_full","mttf_reduced","mttf_adaptive_lrt","selected_model_lrt","cv_hat","mttf_adaptive_cv","selected_model_cv","Lambda","p_value","loglik_F","loglik_R","conv_F"
100,0,0,221.829531491824,219.315389140423,223.950549168247,223.950549168247,"reduced",0.29240539561424,219.315389140423,"full",5.96685616531295,0.201637185725866,-620.609916483548,-623.593344566205,0
100,0,0,221.829531491824,185.43230268848,185.975420867592,185.975420867592,"reduced",0.156454205276315,185.43230268848,"full",1.36468055309911,0.850309880421813,-633.743344570537,-634.425684847086,0
100,0,0,221.829531491824,194.452711878452,195.358582801531,195.358582801531,"reduced",0.142161894917865,194.452711878452,"full",1.63090547712159,0.803227044864556,-627.572934134015,-628.388386872575,0
100,0,0,221.829531491824,208.562117398814,212.958661379832,212.958661379832,"reduced",0.277154957245753,208.562117398814,"full",4.10404874364281,0.392107487917947,-630.586144293692,-632.638168665513,0
100,0,0,221.829531491824,218.622527126517,220.237972649647,220.237972649647,"reduced",0.185960170333392,218.622527126517,"full",2.09311041661476,0.718638223006763,-598.677754678503,-599.72430988681,0
100,0,0,221.829531491824,192.928458187708,193.182308436704,193.182308436704,"reduced",0.140264925117667,192.928458187708,"full",0.904032550002739,0.92398157318207,-634.182842714918,-634.63485898992,0
100,0,0,221.829531491824,235.895318632749,246.697927296702,246.697927296702,"reduced",0.296383045849598,235.895318632749,"full",5.66285404281484,0.225781017815167,-574.739235842653,-577.57066286406,0
100,0,0,221.829531491824,244.96522160729,250.148558936265,250.148558936265,"reduced",0.211153801865153,244.96522160729,"full",2.84633461821841,0.583861302976929,-588.902058659685,-590.325225968794,0
100,0,0,221.829531491824,195.844355666006,203.974097850321,195.844355666006,"full",0.596050073874825,195.844355666006,"full",12.3447920062461,0.0149632776864661,-634.247549893197,-640.41994589632,0
100,0,0,221.829531491824,236.647324295422,238.722896450662,238.722896450662,"reduced",0.151170966898309,236.647324295422,"full",1.37380972478468,0.848733997087947,-579.52129174372,-580.208196606113,0
100,0,0,221.829531491824,197.526408692783,199.013666784038,199.013666784038,"reduced",0.264396897659405,197.526408692783,"full",5.47987541802922,0.241504118290891,-656.666515734996,-659.406453444011,0
100,0,0,221.829531491824,224.542298073146,228.176910256864,228.176910256864,"reduced",0.295769036506216,224.542298073146,"full",3.37404613504532,0.497286404101683,-609.002410810216,-610.689433877739,0
100,0,0,221.829531491824,238.455835661812,249.886103949922,249.886103949922,"reduced",0.472628651774528,238.455835661812,"full",8.62706044836159,0.0711280301571249,-602.45765196426,-606.771182188441,0
100,0,0,221.829531491824,224.151348593664,231.582318634264,231.582318634264,"reduced",0.336926670692126,224.151348593664,"full",4.31617635467251,0.364903866332861,-617.028129860645,-619.186218037981,0
100,0,0,221.829531491824,225.412679840058,225.973531643213,225.973531643213,"reduced",0.121572665240103,225.412679840058,"full",0.693450673633834,0.952134124039993,-608.268744873485,-608.615470210302,0
100,0,0,221.829531491824,206.140179388855,209.296802508757,209.296802508757,"reduced",0.340107512608388,206.140179388855,"full",3.90873169423116,0.418498563049033,-632.329860508172,-634.284226355288,0
100,0,0,221.829531491824,197.455313985061,200.412195433565,200.412195433565,"reduced",0.242438198274696,197.455313985061,"full",4.41857263003408,0.352312140210015,-637.22903309939,-639.438319414407,0
100,0,0,221.829531491824,196.702124651654,199.708879990695,199.708879990695,"reduced",0.349170427404355,196.702124651654,"full",6.12790473160817,0.189797725487808,-630.717130778997,-633.781083144801,0
100,0,0,221.829531491824,217.041051318103,221.099198684619,221.099198684619,"reduced",0.368687478354676,217.041051318103,"full",3.01833048328945,0.554762537660216,-618.324013960263,-619.833179201908,0
100,0,0,221.829531491824,265.349409925295,271.40197714235,271.40197714235,"reduced",0.226584320463341,265.349409925295,"full",2.81529282850693,0.589195792461475,-563.82286766434,-565.230514078593,0
100,0,0,221.829531491824,212.818023676532,220.227348183259,220.227348183259,"reduced",0.53913374023134,212.818023676532,"full",3.36091557351529,0.499338932242168,-623.40445515157,-625.084912938328,0
100,0,0,221.829531491824,221.517078303898,243.264483783974,221.517078303898,"full",0.690784182752215,221.517078303898,"full",14.8534075076359,0.00501511928578267,-604.533169719551,-611.959873473368,0
100,0,0,221.829531491824,241.993493142352,257.999051850936,257.999051850936,"reduced",0.448367867667842,241.993493142352,"full",4.40775350738863,0.353626081296661,-575.436927410379,-577.640804164073,0
100,0,0,221.829531491824,218.618558322197,219.793000980126,219.793000980126,"reduced",0.272933773453716,218.618558322197,"full",2.00792239086718,0.734301643783814,-643.349518622066,-644.3534798175,0
100,0,0,221.829531491824,226.602619114826,233.395853648163,233.395853648163,"reduced",0.39596862151684,226.602619114826,"full",1.9916645706578,0.737292094439167,-618.851912518507,-619.847744803836,0
100,0,0,221.829531491824,204.42641720174,232.480556346277,232.480556346277,"reduced",0.330170732933607,204.42641720174,"full",8.58849620954788,0.0722496976487567,-627.246154094472,-631.540402199246,0
100,0,0,221.829531491824,205.663438046984,209.419417986458,205.663438046984,"full",0.408391103852492,205.663438046984,"full",10.8731051360662,0.0280277696584814,-649.595339393251,-655.031891961284,0
100,0,0,221.829531491824,190.641575241746,191.26055362768,191.26055362768,"reduced",0.170903916425524,190.641575241746,"full",2.6362439560005,0.620416276594055,-645.893705310653,-647.211827288653,0
100,0,0,221.829531491824,222.092719840913,229.469953349127,229.469953349127,"reduced",0.288503146356657,222.092719840913,"full",5.37452882554817,0.250980613167386,-613.723852293075,-616.411116705849,0
100,0,0,221.829531491824,212.777536732768,214.107001085584,214.107001085584,"reduced",0.211247002286288,212.777536732768,"full",2.58906228727847,0.628761909807198,-610.200544750588,-611.495075894227,0
100,0,0,221.829531491824,206.370907234506,208.430314574905,208.430314574905,"reduced",0.208237846384358,206.370907234506,"full",2.67679152788241,0.613281862351284,-620.034152859287,-621.372548623229,0
100,0,0,221.829531491824,252.434108521086,257.587953640669,257.587953640669,"reduced",0.252707778860302,252.434108521086,"full",2.04414865303283,0.727638843711534,-578.842753496757,-579.864827823273,0
100,0,0,221.829531491824,216.417202503567,242.728612518655,216.417202503567,"full",0.379933033178755,216.417202503567,"full",13.3067790141545,0.00987014352062198,-593.54304351792,-600.196433024998,0
100,0,0,221.829531491824,190.289302532813,190.532343106984,190.532343106984,"reduced",0.10360701219649,190.289302532813,"full",0.684958324633953,0.953170829828215,-645.488517177198,-645.830996339515,0
100,0,0,221.829531491824,228.689847105926,229.435948462175,229.435948462175,"reduced",0.121884763500094,228.689847105926,"full",0.859338939357485,0.930320440775153,-594.859293128429,-595.288962598108,0
100,0,0,221.829531491824,206.854471596333,209.559356964533,209.559356964533,"reduced",0.3132418915898,206.854471596333,"full",4.56585431150665,0.334810122686789,-623.201329495144,-625.484256650897,0
100,0,0,221.829531491824,205.971139578284,206.389851588605,206.389851588605,"reduced",0.156955039401673,205.971139578284,"full",0.591143270983366,0.964042767848061,-609.941478612661,-610.237050248153,0
100,0,0,221.829531491824,219.325263022773,220.479836517481,220.479836517481,"reduced",0.119809930107229,219.325263022773,"full",0.725450550098003,0.948153659600978,-611.050649902828,-611.413375177877,0
100,0,0,221.829531491824,189.976846521417,192.148289038482,192.148289038482,"reduced",0.320733321329329,189.976846521417,"full",3.78996501914821,0.435176562184478,-639.325033154136,-641.22001566371,0
100,0,0,221.829531491824,227.098629555539,232.520322348155,232.520322348155,"reduced",0.401128845056882,227.098629555539,"full",8.6576719446598,0.0702494254333781,-617.369610994938,-621.698446967268,0
100,0,0,221.829531491824,236.66407133092,238.482355345869,238.482355345869,"reduced",0.173175120310468,236.66407133092,"full",2.45533398282191,0.652651393653962,-612.986710659494,-614.214377650905,0
100,0,0,221.829531491824,224.4343242363,241.060470148763,241.060470148763,"reduced",0.499594238308079,224.4343242363,"full",6.44014196858666,0.168601213578753,-601.94098428792,-605.161055272214,0
100,0,0,221.829531491824,234.426850098954,235.929797267957,235.929797267957,"reduced",0.148017966851583,234.426850098954,"full",1.45204511299335,0.835100756230197,-597.693003480604,-598.4190260371,0
100,0,0,221.829531491824,198.783769378555,201.660860115527,201.660860115527,"reduced",0.196691199641015,198.783769378555,"full",3.49374423603422,0.478830184496716,-615.510281191583,-617.2571533096,0
