"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
50,0.215,0.825,0.400081400289906,4.04401828055575,-294.626829942193,-296.648839082471
60,0.215,0.825,0.263918997723388,5.23609518078717,-364.982617114526,-367.60066470492
70,0.215,0.825,0.854754057992314,1.33882884562172,-431.365529402151,-432.034943824962
80,0.215,0.825,0.677984455216577,2.31530218135936,-484.595886728507,-485.753537819187
90,0.215,0.825,0.203211715693,5.94607586721395,-554.950541627072,-557.923579560679
100,0.215,0.825,0.509584712964112,3.2958837036831,-642.108421458738,-643.756363310579
50,0.215,0.825,0.186200406207563,6.1786146634937,-270.214896255762,-273.304203587509
60,0.215,0.825,0.14367121500811,6.856454251287,-361.523961887007,-364.95218901265
70,0.215,0.825,0.0084795244287002,13.6555596725018,-420.532637849945,-427.360417686196
80,0.215,0.825,0.669720053728105,2.36081415069918,-480.250610796526,-481.431017871876
90,0.215,0.825,0.350553852387025,4.43310086034057,-572.666346685236,-574.882897115406
100,0.215,0.825,0.361267854805042,4.34545425163378,-631.054876259981,-633.227603385798
50,0.215,0.825,0.600346927337888,2.75084636450185,-305.306797283371,-306.682220465622
60,0.215,0.825,0.610103511709536,2.69492187257094,-350.418374270834,-351.765835207119
70,0.215,0.825,0.933874639784014,0.833694331009497,-413.58110531728,-413.997952482784
80,0.215,0.825,0.59996489511845,2.75304471805146,-508.903364789551,-510.279887148577
90,0.215,0.825,0.480012910137922,3.48598266157001,-557.157649128445,-558.90064045923
100,0.215,0.825,0.877045295181138,1.20639081444506,-627.184604081223,-627.787799488445
50,0.215,0.825,0.401763869406264,4.0314680073318,-304.366155922469,-306.381889926135
60,0.215,0.825,0.27418694360158,5.13030349694384,-329.655852401002,-332.221004149474
70,0.215,0.825,0.920523690249753,0.927905075813896,-423.373480299263,-423.83743283717
80,0.215,0.825,0.775209136605589,1.78508964575133,-469.85335161941,-470.745896442286
90,0.215,0.825,0.329028308013781,4.61587176855255,-541.953472490374,-544.26140837465
100,0.215,0.825,0.796806447365427,1.66642884360795,-646.770021187704,-647.603235609508
50,0.215,0.825,0.795072824753963,1.67599819705981,-318.015860260206,-318.853859358736
60,0.215,0.825,0.00753206467133337,13.9268963520259,-389.304192441922,-396.267640617935
70,0.215,0.825,0.878649816361268,1.19665029508428,-426.010007127531,-426.608332275073
80,0.215,0.825,0.695575903493522,2.21887105543271,-469.156379376384,-470.2658149041
90,0.215,0.825,0.239773794614893,5.49949589160451,-524.309980125681,-527.059728071483
