target_cv,n,mttf_true,actual_cv,mttf_full_mean,mttf_red_mean,n_reps,bias_full_pct,bias_red_pct,mse_full,mse_red,rmse_full,rmse_red,rel_eff,rmse_full_pct,rmse_red_pct,R_bias_full_pct,R_bias_red_pct,reject_rate
0.15,500,214.377405441242,0.205395959064437,213.84940600373952,217.56894214190208,498,-0.24629435010453585,1.4887467707201318,88.4739185159941,110.83284027935944,9.40605754373181,10.52771771465019,0.7982644701064358,4.38761609432291,4.910833626790814,0.4646647931923352,-0.8688534125945645,0.7811244979919679
0.15,1000,214.377405441242,0.205395959064437,213.95520636225348,217.13822912611457,500,-0.19694196695753546,1.28783333261736,46.62234851296666,58.929959351458734,6.828055983438233,7.676585136078329,0.7911484926522792,3.1850632623267345,3.5808741692148054,0.11682406773236045,-1.0369980014397568,0.98
0.15,5000,214.377405441242,0.205395959064437,214.4081708807335,217.20241195577154,498,0.014351064389549185,1.317772509054759,8.970437437603406,17.61683079725789,2.995068853566376,4.197240855283134,0.5091970026186368,1.3971009899115907,1.9578746401208507,0.09000712425017872,-0.9209259478156891,1.0
0.2,100,208.355179485923,0.273861278752583,204.4383699464627,215.06237402171,494,-1.879871452739639,3.2191158157602535,385.49652699341897,573.4704051392112,19.63406547288205,23.947242119693264,0.6722169505849894,9.423363278669335,11.493470994471343,1.9647534833610654,-1.5704056713391898,0.33805668016194335
0.2,500,208.355179485923,0.273861278752583,207.90405929711514,214.45085111361334,496,-0.21651498653449214,2.9256155967565833,98.9566102831386,157.12854679847084,9.947693716793788,12.535092612281364,0.6297812351695576,4.774392333964455,6.016213584519154,0.479589421207543,-1.6145540654218955,0.9717741935483871
0.2,1000,208.355179485923,0.273861278752583,207.70549933010184,213.60638837355575,493,-0.3118137775236121,2.520315981867649,47.967710595799865,84.61585483712173,6.925872551224132,9.198687669288578,0.5668879749325182,3.3240702574864773,4.414907127331608,0.0977989931148374,-1.8167275409871617,1.0
0.2,5000,208.355179485923,0.273861278752583,208.2120598355859,213.75624812236083,500,-0.06869022919911041,2.592241119113978,9.918421487933747,40.94347472022373,3.1493525505941293,6.39870883227419,0.2422466963468202,1.5115307228572676,3.0710582036221963,0.0201311364600075,-1.7522834994918184,1.0
0.3,100,190.512361860046,0.410791918128875,186.00566386080564,210.50262834160569,488,-2.365567228939757,10.492897304084078,532.3448002619724,1400.8478778570272,23.072598472256487,37.42790239723604,0.38001613785241023,12.110814357131352,19.64591800333213,1.6356984895605102,-4.045053705807455,0.7397540983606558
0.3,500,190.512361860046,0.410791918128875,190.23524396850175,209.71069296786922,495,-0.1454592703794417,10.077210171761276,94.52662788530534,535.7547656465338,9.722480541780753,23.14637694427648,0.17643637340534576,5.103333162665355,12.149540700818275,0.8147862493558792,-3.6188607384743263,1.0
0.3,1000,190.512361860046,0.410791918128875,190.14477833697003,209.12198956645844,490,-0.1929447094598578,9.768199567061906,50.70830724561958,431.4879081835133,7.12097656544519,20.772287023424102,0.11751964836996813,3.73780288896759,10.903380137969114,0.2965842143874912,-3.9312118206851703,1.0
0.3,5000,190.512361860046,0.410791918128875,190.22147095034353,208.17020705772288,487,-0.15268873203943437,9.268608622178885,11.0664681525886,332.4285559631679,3.326630149654241,18.232623397722225,0.03328976393295987,1.746149235238628,9.57030988420387,-0.09028236121160411,-4.110302516779535,1.0
