target_cv,actual_cv,n,model,mttf_true,mean_est,bias,bias_sq,variance,mse,mse_check,bias_frac,var_frac,n_reps
0.15,0.205395959064437,500,full,214.377405441242,213.84940600373955,-0.5279994375024444,0.2787834060028977,88.19513510999118,88.4739185159941,88.47391851599409,0.0031510236087542555,0.9968489763912456,498
0.15,0.205395959064437,500,reduced,214.377405441242,217.56894214190208,3.1915367006600945,10.185906511660322,100.6469337676991,110.83284027935944,110.83284027935942,0.09190332473647937,0.9080966752635203,498
0.15,0.205395959064437,1000,full,214.377405441242,213.95520636225345,-0.42219907898854103,0.1782520622987723,46.44409645066791,46.62234851296666,46.62234851296668,0.003823317957678529,0.9961766820423219,500
0.15,0.205395959064437,1000,reduced,214.377405441242,217.13822912611457,2.7608236848725767,7.622147418953393,51.30781193250528,58.929959351458734,58.92995935145868,0.1293424856021849,0.870657514397814,500
0.15,0.205395959064437,5000,full,214.377405441242,214.4081708807335,0.030765439491517554,0.0009465122671062279,8.9694909253363,8.970437437603406,8.970437437603406,0.00010551461661596556,0.9998944853833841,498
0.15,0.205395959064437,5000,reduced,214.377405441242,217.20241195577154,2.825006514529548,7.9806618071343856,9.636168990123455,17.61683079725789,17.61683079725784,0.45301347892701554,0.5469865210729816,498
0.2,0.273861278752583,100,full,208.355179485923,204.4383699464627,-3.916809539460303,15.34139696840723,370.15513002501166,385.49652699341897,385.4965269934189,0.03979645961549514,0.9602035403845046,494
0.2,0.273861278752583,100,reduced,208.355179485923,215.06237402171004,6.707194535787039,44.98645854089151,528.4839465983199,573.4704051392112,573.4704051392114,0.0784459984992093,0.9215540015007911,494
0.2,0.273861278752583,500,full,208.355179485923,207.90405929711514,-0.4511201888078631,0.20350942475004205,98.75310085838858,98.9566102831386,98.95661028313862,0.0020565521006403993,0.9979434478993597,496
0.2,0.273861278752583,500,reduced,208.355179485923,214.45085111361334,6.095671627690336,37.15721259262896,119.97133420584204,157.12854679847084,157.128546798471,0.2364765241562749,0.7635234758437262,496
0.2,0.273861278752583,1000,full,208.355179485923,207.70549933010182,-0.6496801558211871,0.42208430486784193,47.54562629093203,47.967710595799865,47.96771059579987,0.008799342299751123,0.991200657700249,493
0.2,0.273861278752583,1000,reduced,208.355179485923,213.60638837355575,5.2512088876327425,27.575194781553105,57.04066005556841,84.61585483712173,84.61585483712152,0.32588685459283007,0.6741131454071674,493
0.2,0.273861278752583,5000,full,208.355179485923,208.2120598355859,-0.1431196503370984,0.020483234312613306,9.897938253621133,9.918421487933747,9.918421487933745,0.0020651707872600673,0.9979348292127398,500
0.2,0.273861278752583,5000,reduced,208.355179485923,213.75624812236083,5.401068636437827,29.17154241551237,11.771932304711619,40.94347472022373,40.94347472022399,0.7124833105848561,0.2875166894151502,500
0.3,0.410791918128875,100,full,190.512361860046,186.00566386080564,-4.506697999240373,20.310326856357182,512.034473405615,532.3448002619724,532.3448002619722,0.03815257864144115,0.9618474213585585,488
0.3,0.410791918128875,100,reduced,190.512361860046,210.50262834160566,19.990266481559644,399.610754003767,1001.2371238532596,1400.8478778570272,1400.8478778570266,0.2852634895768118,0.7147365104231878,488
0.3,0.410791918128875,500,full,190.512361860046,190.23524396850178,-0.27711789154423627,0.07679432581392309,94.44983355949141,94.52662788530534,94.52662788530533,0.0008124094504577283,0.9991875905495421,495
0.3,0.410791918128875,500,reduced,190.512361860046,209.71069296786922,19.198331107823208,368.5759173256123,167.17884832092193,535.7547656465338,535.7547656465342,0.6879563952750383,0.31204360472496256,495
0.3,0.410791918128875,1000,full,190.512361860046,190.14477833697003,-0.36758352307597875,0.1351176464369486,50.57318959918265,50.70830724561958,50.708307245619594,0.002664605737723984,0.9973353942622764,490
0.3,0.410791918128875,1000,reduced,190.512361860046,209.12198956645847,18.609627706412454,346.31824337127404,85.16966481224006,431.4879081835133,431.4879081835141,0.8026140172252143,0.19738598277478753,490
0.3,0.410791918128875,5000,full,190.512361860046,190.22147095034353,-0.2908909097024832,0.08461752134753825,10.981850631241048,11.0664681525886,11.066468152588588,0.007646298727001265,0.9923537012729975,487
0.3,0.410791918128875,5000,reduced,190.512361860046,208.17020705772288,17.657845197676863,311.7994970251199,20.62905893804797,332.4285559631679,332.42855596316787,0.9379443836337162,0.062055616366283546,487
