"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,1,0.0560863599505578,9.20883563344432,-6061.22291368184,-6065.82733149856
1000,0.215,0.825,1.1308,0.689573083032405,2.25171629724719,-6146.59639738928,-6147.7222555379
1000,0.215,0.825,1.25,0.0343683793353457,10.3884756369807,-6205.99511830638,-6211.18935612487
1000,0.215,0.825,1.5,0.144105534388203,6.84865541252657,-6205.19868099997,-6208.62300870623
1000,0.215,0.825,1.75,0.000129224130737492,22.9558462966761,-6180.75031222452,-6192.22823537286
1000,0.215,0.825,2,0.000615907065336152,19.5381898494143,-6160.79541150327,-6170.56450642798
1000,0.215,0.825,2.25,4.02539070412669e-05,25.4813260611882,-6299.08462852976,-6311.82529156035
1000,0.215,0.825,2.5,9.9625616818112e-05,23.5208821473952,-6249.25596748625,-6261.01640855995
1000,0.215,0.825,2.75,7.5836896703396e-07,33.9628713608781,-6191.44466778841,-6208.42610346885
1000,0.215,0.825,3,1.52186091393453e-05,27.5734423040503,-6260.30789711088,-6274.0946182629
1000,0.215,0.825,0.25,4.50832915760489e-91,426.794293949411,-4574.44536009374,-4787.84250706844
1000,0.215,0.825,0.5,5.70714714205791e-46,217.753104978543,-5901.84112820923,-6010.7176806985
1000,0.215,0.825,0.75,4.72758783768614e-11,54.2223771778317,-6046.24194637261,-6073.35313496153
1000,0.215,0.825,1,0.0635549830964078,8.90358947206369,-6345.5223937472,-6349.97418848323
1000,0.215,0.825,1.1308,0.102284590974908,7.72260537604961,-6221.95386674889,-6225.81516943691
1000,0.215,0.825,1.25,0.26985141323697,5.17455458700715,-6133.85216742992,-6136.43944472342
1000,0.215,0.825,1.5,0.152958613276901,6.69419182232559,-6226.01025010918,-6229.35734602034
1000,0.215,0.825,1.75,0.000317477948099491,20.9944125392576,-6258.50120444616,-6268.99841071579
1000,0.215,0.825,2,0.000463678535710172,20.1632112821753,-6229.32213926411,-6239.4037449052
1000,0.215,0.825,2.25,0.000237965240710574,21.6250966526441,-6308.88374689617,-6319.69629522249
1000,0.215,0.825,2.5,0.0268112632205464,10.9780984662084,-6353.48847922295,-6358.97752845605
1000,0.215,0.825,2.75,0.00316887596007136,15.8910651944461,-6279.27494300156,-6287.22047559879
1000,0.215,0.825,3,0.000279903772550388,21.2701804711578,-6269.50677422959,-6280.14186446517
1000,0.215,0.825,0.25,1.99165077708771e-224,1042.69686371754,-4543.98381659355,-5065.33224845232
