"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","pct_censored","aic_F","aic_R","bic_F","bic_R"
100,0.215,0.5,0.594290213658184,2.78577774681571,-330.122766426771,-331.515655300178,0.0399806559271595,1.11213300318359,0.57,680.245532853541,675.031310600357,706.297234713422,690.662331716285
100,0.215,0.5,0.648002629910761,2.48121521162795,-358.922047884127,-360.162655489941,0.0399806559271595,1.11213300318359,0.52,737.844095768253,732.325310979881,763.895797628134,747.95633209581
100,0.215,0.5,0.452998747212011,3.6666248173243,-428.436363142377,-430.269675551039,0.0399806559271595,1.11213300318359,0.41,876.872726284754,872.539351102078,902.924428144635,888.170372218006
100,0.215,0.5,0.51143727717137,3.28421410067995,-389.489030680918,-391.131137731258,0.0399806559271595,1.11213300318359,0.48,798.978061361837,794.262275462517,825.029763221718,809.893296578445
100,0.215,0.5,0.444500899274718,3.72499560379958,-333.486894565425,-335.349392367325,0.0399806559271595,1.11213300318359,0.56,686.973789130851,682.69878473465,713.025490990732,698.329805850579
100,0.215,0.5,0.00224093087365359,16.6691817609369,-374.153543538346,-382.488134418814,0.0399806559271595,1.11213300318359,0.5,768.307087076692,776.976268837629,794.358788936573,792.607289953557
100,0.215,0.5,0.909412434529964,1.00252790584625,-417.189086219673,-417.690350172596,0.0399806559271595,1.11213300318359,0.44,854.378172439345,847.380700345191,880.429874299226,863.01172146112
100,0.215,0.5,0.937152215745877,0.809631258686522,-391.264939712972,-391.669755342315,0.0399806559271595,1.11213300318359,0.48,802.529879425943,795.33951068463,828.581581285824,810.970531800558
100,0.215,0.5,0.761137477397837,1.86191407786066,-350.27079253815,-351.20174957708,0.0399806559271595,1.11213300318359,0.54,720.5415850763,714.403499154161,746.593286936181,730.034520270089
100,0.215,0.5,0.432496327326717,3.80882523396804,-397.597929840741,-399.502342457725,0.0399806559271595,1.11213300318359,0.47,815.195859681483,811.004684915451,841.247561541364,826.635706031379
100,0.215,0.5,0.479732782415292,3.48781982343166,-363.683836978133,-365.427746889849,0.0399806559271595,1.11213300318359,0.53,747.367673956266,742.855493779698,773.419375816147,758.486514895626
100,0.215,0.5,0.0170205369460156,12.0448924635905,-350.666786695797,-356.689232927592,0.0399806559271595,1.11213300318359,0.54,721.333573391594,725.378465855184,747.385275251475,741.009486971113
100,0.215,0.5,0.253913730424463,5.34261796667477,-368.671106912045,-371.342415895382,0.0399806559271595,1.11213300318359,0.51,757.34221382409,754.684831790765,783.393915683971,770.315852906693
100,0.215,0.5,0.70262234279179,2.18038272418312,-387.958804110429,-389.048995472521,0.0399806559271595,1.11213300318359,0.47,795.917608220859,790.097990945042,821.96931008074,805.72901206097
100,0.215,0.5,0.00372680649614014,15.5254172843689,-340.173278481072,-347.935987123257,0.0399806559271595,1.11213300318359,0.54,700.346556962144,707.871974246513,726.398258822025,723.502995362442
100,0.215,0.5,0.000974877732856374,18.5232161099934,-383.866164240481,-393.127772295477,0.0399806559271595,1.11213300318359,0.48,787.732328480961,798.255544590955,813.784030340842,813.886565706883
